,A.muc,Firmicutes,Bacteroidetes,Lactobucillius,Bifido,Parab,16S
A22+AC0-1,30.084,16.571,14.562,31.235,28.23,28.706,13.176
A22+AC0-1,,15.238,14.006,30.86,,28.64,12.743
A22+AC0-2,30.14,16.811,15.103,31.343,26.967,26.711,14.106
A22+AC0-2,30.049,16.661,15.307,31.756,26.311,26.555,14.143
A22+AC0-2,30.102,16.505,15.31,,26.543,26.945,14.306
A22+AC0-3,24.712,15.493,14.198,33.766,23.686,21.109,13.029
A22+AC0-3,24.88,15.622,14.855,34.571,23.622,21.422,13.088
A22+AC0-3,24.595,15.331,14.526,32.613,23.532,21.379,12.96
A23+AC0-1,30.655,15.484,13.882,,20.353,25.396,12.851
A23+AC0-1,31.118,15.606,14.214,34.629,20.052,25.994,12.971
A23+AC0-1,31.098,15.404,14.135,34.991,20.051,25.92,12.706
A23+AC0-2,30.608,15.728,14.344,35.63,19.346,26.273,13.027
A23+AC0-2,30.58,15.975,14.955,35.451,19.653,27.086,13.1
A23+AC0-2,29.884,15.265,14.715,36.644,18.969,27.386,13.039
A23+AC0-3,30.303,15.847,15.028,31.806,18.396,26.493,13.119
A23+AC0-3,31.042,15.483,15.098,32.019,18.172,26.968,13.346
A23+AC0-3,29.702,14.926,14.802,32.593,17.893,26.586,13.03
A24+AC0-1,32.536,18.311,14.592,33.359,24.056,32.816,13.416
A24+AC0-1,33.346,17.894,14.708,33.517,23.609,32.204,13.574
A24+AC0-1,32.543,17.418,14.414,33.179,23.454,32.006,13.256
A24+AC0-2,28.07,16.887,14.909,32.517,25.5,27.117,13.847
A24+AC0-2,28.089,16.924,15.167,32.736,25.11,27.02,13.93
A24+AC0-2,27.435,16.661,14.523,32.807,24.695,26.532,13.33
A24+AC0-3,28.434,16.566,14.737,32.675,23.208,26.93,13.41
A24+AC0-3,28.85,16.27,14.615,31.665,23.216,26.467,13.3
A24+AC0-3,28.31,16.193,14.491,32.99,22.914,26.165,13.053
A25+AC0-1,27.342,16.181,14.032,32.565,22.087,28.254,12.75
A25+AC0-1,27.986,16.292,13.985,33.722,22.125,28.399,12.836
A25+AC0-1,26.996,16.027,13.749,33.669,21.836,28.047,12.734
A25+AC0-2,27.906,16.977,14.341,,22.915,26.203,13.182
A25+AC0-2,28.16,16.72,14.329,35.066,22.868,26.557,13.159
A25+AC0-2,27.09,16.523,14.162,34.595,22.576,26.532,13.087
A25+AC0-3,28.605,18.122,14.885,32.26,23.825,27.346,13.509
A25+AC0-3,29.226,18.096,14.902,33.09,23.921,27.598,13.653
A25+AC0-3,28.129,17.597,14.33,32.816,23.459,27.068,13.296
A26+AC0-1,30.745,16.96,16.017,35.118,22.674,40,13.946
A26+AC0-1,,17.075,15.192,,22.345,40,13.876
A26+AC0-1,30.528,16.712,14.906,34.541,22.049,40,13.764
A26+AC0-2,20.965,,13.985,33.24,20.044,40,12.989
A26+AC0-2,20.983,16.552,13.99,33.585,19.865,40,12.806
A26+AC0-2,20.867,16.328,14.011,33.088,19.987,40,12.802
A26+AC0-3,27.548,17.35,15.211,35.421,20.73,40,13.386
A26+AC0-3,27.577,17.025,14.778,35.273,20.337,40,13.208
A26+AC0-3,27.088,16.727,14.622,,20.453,40,13.187
A27+AC0-1,22.797,15.976,14.954,30.641,19.072,40,13.035
A27+AC0-1,22.985,15.984,14.353,30.696,18.87,40,12.929
A27+AC0-1,22.593,15.94,14.161,29.989,18.923,40,12.819
A27+AC0-2,21.431,16.532,15.112,31.872,19.887,40,13.551
A27+AC0-2,21.638,16.177,15.106,31.731,19.603,40,13.243
A27+AC0-2,21.317,16.479,14.87,32.496,19.667,40,13.168
A27+AC0-3,22.293,,13.914,30.946,17.664,40,12.575
A27+AC0-3,22.509,18.311,,,,40,12.979
A27+AC0-3,22.679,17.011,18.498,37.572,23.586,40,12.721
A28+AC0-1,29.429,,,37.451,,23.754,12.429
A28+AC0-1,30.335,17.736,40,40,40,,12.812
A28+AC0-1,30.516,18.617,40,40,40,24.964,12.829
A28+AC0-2,32.021,15.895,16.126,35.996,22.903,24.074,13.157
A28+AC0-2,33.254,15.585,15.513,35.376,,24.96,13.666
A28+AC0-2,32.629,15.118,14.198,34.101,21.765,24.063,13.239
A28+AC0-3,,,,40,22.296,22.977,13.132
A28+AC0-3,,,,40,,,
A28+AC0-3,32.947,15.239,14.473,32.535,21.093,23.468,13.131
A29+AC0-1,31.003,,,,,,13.952
A29+AC0-1,31.114,15.771,14.288,34.548,22.131,36.715,12.987
A29+AC0-1,30.868,15.244,13.698,33.05,21.358,33.941,12.935
A29+AC0-2,31.645,,,40,,40,
A29+AC0-2,32.715,16.343,15.916,40,24.894,40,13.768
A29+AC0-2,31.687,15.914,13.982,,20.263,,12.902
A29+AC0-3,31.665,,,,,,13.059
A29+AC0-3,31.79,15.818,14.187,33.821,19.636,34.088,12.968
A29+AC0-3,31.56,15.35,13.651,32.564,19.27,32.991,12.849
A30+AC0-1,27.559,,,,,,13.059
A30+AC0-1,27.136,14.893,13.895,33.663,24.803,21.681,12.438
A30+AC0-1,26.98,14.453,13.548,31.991,24.088,21.49,12.236
A30+AC0-2,,16.973,,,,,13.53
A30+AC0-2,30.705,15.52,13.198,32.81,24.465,28.666,12.421
A30+AC0-2,30.935,15.298,13.076,32.165,24.029,29.119,12.289
A30+AC0-3,,,,,,,
A30+AC0-3,29.42,14.573,14.123,34.024,25.281,27.688,12.44
A30+AC0-3,29.04,14.479,14.803,34.126,24.367,27.002,12.388
B1+AC0-1,31.081,16.99,15.673,39.92,34.908,40,13.992
B1+AC0-1,30.82,16.708,15.757,39.399,32.912,40,14.046
B1+AC0-1,31.297,17.161,15.962,36.902,34.171,39.624,14.496
B1+AC0-2,,15.999,14.414,34.504,33.466,38.669,12.986
B1+AC0-2,34.415,15.658,14.846,34.4,31.97,40,12.987
B1+AC0-2,34.177,16.068,14.89,34.63,31.978,40,13.356
B1+AC0-3,33.788,15.195,14.364,32.4,31.665,38.874,12.629
B1+AC0-3,33.825,15.076,14.548,31.196,30.855,38.336,12.71
B1+AC0-3,32.85,15.31,15.186,31.709,29.858,38.7,13.12
B2+AC0-1,31.432,17.783,14.207,,22.417,23.884,12.728
B2+AC0-1,31.814,17.28,14.137,37.89,22.404,23.991,12.896
B2+AC0-1,30.837,17.651,14.388,35.329,22.685,,
B2+AC0-2,30.96,16.789,13.839,31.429,20.449,27.123,12.086
B2+AC0-2,30.997,16.616,13.562,31.515,20.41,27.594,12.389
B2+AC0-2,29.603,16.897,13.974,32.093,20.641,27.72,12.294
B2+AC0-3,31.722,16.56,13.898,35.441,18.866,25.239,12.856
B2+AC0-3,31.54,16.214,14.848,34.86,18.96,25.204,13.115
B2+AC0-3,30.308,16.29,14.397,,19.213,25.374,12.915
B3+AC0-1,,18.337,15.402,,24.691,32.377,13.983
B3+AC0-1,38.3,18.016,16.083,40,24.989,31.772,14.487
B3+AC0-1,38.321,18.31,15.391,40,25.186,31.933,14.166
B3+AC0-2,34.08,17.864,15.619,31.165,23.07,33.148,14.054
B3+AC0-2,35.875,16.59,15.51,31.53,23.338,34.828,14.119
B3+AC0-2,33.138,17.387,15.545,30.587,23.301,33.533,14.065
B3+AC0-3,33.771,16.429,14.318,34.425,21.974,,13.304
B3+AC0-3,,16.392,14.209,34.117,21.562,40,12.839
B3+AC0-3,33.056,17.097,13.927,,21.861,40,13.238
B4+AC0-1,20.719,16.193,15.128,27.825,20.482,38.287,13.584
B4+AC0-1,20.526,15.927,15.116,27.487,20.521,38.776,13.384
B4+AC0-1,20.65,16,14.984,27.706,20.48,40,13.276
B4+AC0-2,29.999,18.265,16.274,35.732,19.39,40,14.499
B4+AC0-2,30.042,18.018,16.349,40,19.487,40,14.639
B4+AC0-2,29.683,17.603,16.003,40,19.608,40,14.541
B4+AC0-3,22.563,18.019,17.96,,22.861,39.187,15.342
B4+AC0-3,22.135,17.55,16.993,35.826,22.646,40,15.218
B4+AC0-3,22,17.469,16.853,35.705,22.468,40,15.48
B5+AC0-1,26.858,16.968,14.607,37.436,21.39,39.239,13.369
B5+AC0-1,27.627,,14.771,35.009,21.392,40,13.244
B5+AC0-1,26.505,16.413,15.155,,21.426,40,13.331
B5+AC0-2,23.04,17.783,15.909,35.464,20.873,40,14.128
B5+AC0-2,23.038,17.491,15.709,34.366,20.989,40,14.298
B5+AC0-2,22.821,17.152,16.547,34.272,20.982,40,14.343
B5+AC0-3,21.241,16.137,14.053,33.357,22.55,,13.754
B5+AC0-3,22.345,40,40,,,34.402,
B5+AC0-3,21.261,16.225,15.059,33.363,22.212,34.236,13.554
B6+AC0-1,37.901,19.75,16.135,33.115,31.379,40,15.073
B6+AC0-1,,20.476,16.001,33.719,30.981,40,15.205
B6+AC0-1,35.567,19.615,16.087,,30.792,40,15.018
B6+AC0-2,32.227,18.012,15.461,40,30.78,40,14.135
B6+AC0-2,32.665,18.096,15.51,38.241,29.717,40,14.032
B6+AC0-2,32.492,18.135,15.455,39.87,30.733,40,14.52
