Sample Name,Target Name,CT
A9-2,Parab,35.608
A9-2,16S,12.806
A9-2,A.muc,29.457
A9-2,Firmicutes,15.465
A9-2,Bacteroidetes,14.722
A9-2,Lactobucillius,33.740
A9-2,Bifido,19.002
A9-2,Parab,Undetermined
A9-2,16S,13.028
A9-2,A.muc,30.521
A9-2,Firmicutes,15.991
A9-2,Bacteroidetes,14.659
A9-2,Lactobucillius,33.918
A9-2,Bifido,19.413
A9-2,Parab,36.748
A9-2,16S,13.279
A9-3,A.muc,34.794
A9-3,Firmicutes,17.567
A9-3,Bacteroidetes,15.987
A9-3,Lactobucillius,34.013
A9-3,Bifido,22.827
A9-3,Parab,Undetermined
A9-3,16S,14.108
A9-3,A.muc,33.577
A9-3,Firmicutes,16.868
A9-3,Bacteroidetes,15.766
A9-3,Lactobucillius,35.542
A9-3,Bifido,22.961
A9-3,Parab,Undetermined
A9-3,16S,14.333
A9-3,A.muc,34.573
A9-3,Firmicutes,17.290
A9-3,Bacteroidetes,15.888
A9-3,Lactobucillius,35.157
A9-3,Bifido,23.303
A9-3,Parab,Undetermined
A9-3,16S,14.487
A10-1,A.muc,26.214
A10-1,Firmicutes,16.711
A10-1,Bacteroidetes,14.234
A10-1,Lactobucillius,32.366
A10-1,Bifido,25.575
A10-1,Parab,29.449
A10-1,16S,11.551
A10-1,A.muc,24.659
A10-1,Firmicutes,15.661
A10-1,Bacteroidetes,12.736
A10-1,Lactobucillius,33.307
A10-1,Bifido,24.370
A10-1,Parab,29.721
A10-1,16S,12.032
A10-1,A.muc,25.141
A10-1,Firmicutes,16.473
A10-1,Bacteroidetes,13.484
A10-1,Lactobucillius,34.041
A10-1,Bifido,25.367
A10-1,Parab,29.920
A10-1,16S,12.831
A10-2,A.muc,20.020
A10-2,Firmicutes,17.132
A10-2,Bacteroidetes,14.428
A10-2,Lactobucillius,38.308
A10-2,Bifido,25.099
A10-2,Parab,30.779
A10-2,16S,12.930
A10-2,A.muc,19.685
A10-2,Firmicutes,16.603
A10-2,Bacteroidetes,14.245
A10-2,Lactobucillius,34.869
A10-2,Bifido,24.914
A10-2,Parab,32.381
A10-2,16S,13.346
A10-2,A.muc,19.892
A10-2,Firmicutes,16.794
A10-2,Bacteroidetes,14.278
A10-2,Lactobucillius,35.844
A10-2,Bifido,25.174
A10-2,Parab,31.169
A10-2,16S,13.295
A10-3,A.muc,22.394
A10-3,Firmicutes,16.585
A10-3,Bacteroidetes,14.163
A10-3,Lactobucillius,30.162
A10-3,Bifido,23.856
A10-3,Parab,32.998
A10-3,16S,12.774
A10-3,A.muc,21.980
A10-3,Firmicutes,16.105
A10-3,Bacteroidetes,13.883
A10-3,Lactobucillius,30.505
A10-3,Bifido,23.784
A10-3,Parab,34.136
A10-3,16S,12.465
A10-3,A.muc,21.702
A10-3,Firmicutes,16.326
A10-3,Bacteroidetes,14.256
A10-3,Lactobucillius,30.272
A10-3,Bifido,23.765
A10-3,Parab,33.381
A10-3,16S,12.920
A11-1,A.muc,35.506
A11-1,Firmicutes,18.743
A11-1,Bacteroidetes,17.463
A11-1,Lactobucillius,34.509
A11-1,Bifido,24.391
A11-1,Parab,39.561
A11-1,16S,15.089
A11-1,A.muc,34.693
A11-1,Firmicutes,18.496
A11-1,Bacteroidetes,16.525
A11-1,Lactobucillius,35.527
A11-1,Bifido,23.768
A11-1,Parab,Undetermined
A11-1,16S,15.053
A11-1,A.muc,36.075
A11-1,Firmicutes,18.579
A11-1,Bacteroidetes,16.838
A11-1,Lactobucillius,33.549
A11-1,Bifido,24.049
A11-1,Parab,Undetermined
A11-1,16S,15.370
A11-2,A.muc,30.482
A11-2,Firmicutes,16.621
A11-2,Bacteroidetes,14.810
A11-2,Lactobucillius,36.320
A11-2,Bifido,21.755
A11-2,Parab,Undetermined
A11-2,16S,12.607
A11-2,A.muc,30.780
A11-2,Firmicutes,16.168
A11-2,Bacteroidetes,14.809
A11-2,Lactobucillius,Undetermined
A11-2,Bifido,21.658
A11-2,Parab,Undetermined
A11-2,16S,12.604
A11-2,A.muc,30.716
A11-2,Firmicutes,16.824
A11-2,Bacteroidetes,14.295
A11-2,Lactobucillius,37.403
A11-2,Bifido,21.792
A11-2,Parab,Undetermined
A11-2,16S,12.910
A11-3,A.muc,33.738
A11-3,Firmicutes,17.563
A11-3,Bacteroidetes,14.464
A11-3,Lactobucillius,33.138
A11-3,Bifido,27.886
A11-3,Parab,Undetermined
A11-3,16S,12.627
A11-3,A.muc,32.366
A11-3,Firmicutes,16.369
A11-3,Bacteroidetes,13.485
A11-3,Lactobucillius,33.356
A11-3,Bifido,27.320
A11-3,Parab,Undetermined
A11-3,16S,13.849
A11-3,A.muc,34.614
A11-3,Firmicutes,18.264
A11-3,Bacteroidetes,14.739
A11-3,Lactobucillius,34.332
A11-3,Bifido,28.502
A11-3,Parab,Undetermined
A11-3,16S,14.387
A12-1,A.muc,27.401
A12-1,Firmicutes,16.416
A12-1,Bacteroidetes,14.802
A12-1,Lactobucillius,32.501
A12-1,Bifido,20.160
A12-1,Parab,23.295
A12-1,16S,12.981
A12-1,A.muc,26.463
A12-1,Firmicutes,15.960
A12-1,Bacteroidetes,13.988
A12-1,Lactobucillius,31.136
A12-1,Bifido,19.847
A12-1,Parab,23.080
A12-1,16S,12.977
A12-1,A.muc,26.674
A12-1,Firmicutes,16.418
A12-1,Bacteroidetes,14.615
A12-1,Lactobucillius,31.219
A12-1,Bifido,20.175
A12-1,Parab,25.323
A12-1,16S,13.478
A12-2,A.muc,34.708
A12-2,Firmicutes,16.473
A12-2,Bacteroidetes,16.979
A12-2,Lactobucillius,36.823
A12-2,Bifido,20.729
A12-2,Parab,Undetermined
A12-2,16S,13.866
A12-2,A.muc,34.005
A12-2,Firmicutes,15.809
A12-2,Bacteroidetes,16.254
A12-2,Lactobucillius,34.386
A12-2,Bifido,20.476
A12-2,Parab,Undetermined
A12-2,16S,14.374
A12-2,A.muc,34.772
A12-2,Firmicutes,16.476
A12-2,Bacteroidetes,16.992
A12-2,Lactobucillius,34.721
A12-2,Bifido,21.400
A12-2,Parab,Undetermined
A12-2,16S,14.596
A12-3,A.muc,32.821
A12-3,Firmicutes,15.262
A12-3,Bacteroidetes,15.743
A12-3,Lactobucillius,35.959
A12-3,Bifido,21.430
A12-3,Parab,35.033
A12-3,16S,12.972
A12-3,A.muc,32.362
A12-3,Firmicutes,14.680
A12-3,Bacteroidetes,15.437
A12-3,Lactobucillius,34.614
A12-3,Bifido,21.311
A12-3,Parab,Undetermined
A12-3,16S,13.114
A12-3,A.muc,32.902
A12-3,Firmicutes,15.126
A12-3,Bacteroidetes,16.176
A12-3,Lactobucillius,35.632
A12-3,Bifido,22.134
A12-3,Parab,Undetermined
A12-3,16S,13.713
A13-1,A.muc,29.904
A13-1,Firmicutes,16.905
A13-1,Bacteroidetes,14.956
A13-1,Lactobucillius,34.089
A13-1,Bifido,25.592
A13-1,Parab,Undetermined
A13-1,16S,12.955
A13-1,A.muc,29.206
A13-1,Firmicutes,16.034
A13-1,Bacteroidetes,14.397
A13-1,Lactobucillius,33.029
A13-1,Bifido,25.359
A13-1,Parab,Undetermined
A13-1,16S,13.019
A13-1,A.muc,30.135
A13-1,Firmicutes,16.465
A13-1,Bacteroidetes,14.682
A13-1,Lactobucillius,34.440
A13-1,Bifido,26.097
A13-1,Parab,Undetermined
A13-1,16S,13.289
A13-2,A.muc,29.405
A13-2,Firmicutes,16.101
A13-2,Bacteroidetes,14.068
A13-2,Lactobucillius,33.841
A13-2,Bifido,22.703
A13-2,Parab,39.582
A13-2,16S,12.206
A13-2,A.muc,28.453
A13-2,Firmicutes,15.392
A13-2,Bacteroidetes,13.398
A13-2,Lactobucillius,35.232
A13-2,Bifido,22.059
A13-2,Parab,39.376
A13-2,16S,12.314
A13-2,A.muc,28.956
A13-2,Firmicutes,15.791
A13-2,Bacteroidetes,13.896
A13-2,Lactobucillius,33.843
A13-2,Bifido,22.351
A13-2,Parab,Undetermined
A13-2,16S,12.539
A13-3,A.muc,29.911
A13-3,Firmicutes,16.060
A13-3,Bacteroidetes,14.077
A13-3,Lactobucillius,35.831
A13-3,Bifido,25.082
A13-3,Parab,39.916
A13-3,16S,12.129
A13-3,A.muc,28.214
A13-3,Firmicutes,14.925
A13-3,Bacteroidetes,13.366
A13-3,Lactobucillius,34.105
A13-3,Bifido,24.232
A13-3,Parab,39.239
A13-3,16S,12.400
A13-3,A.muc,30.426
A13-3,Firmicutes,15.983
A13-3,Bacteroidetes,14.044
A13-3,Lactobucillius,34.928
A13-3,Bifido,25.947
A13-3,Parab,Undetermined
A13-3,16S,12.974
A14-1,A.muc,31.376
A14-1,Firmicutes,18.090
A14-1,Bacteroidetes,15.581
A14-1,Lactobucillius,35.457
A14-1,Bifido,22.436
A14-1,Parab,24.906
A14-1,16S,14.083
A14-1,A.muc,31.817
A14-1,Firmicutes,17.825
A14-1,Bacteroidetes,15.507
A14-1,Lactobucillius,36.065
A14-1,Bifido,22.808
A14-1,Parab,24.445
A14-1,16S,14.122
A14-1,A.muc,31.851
A14-1,Firmicutes,17.785
A14-1,Bacteroidetes,15.365
A14-1,Lactobucillius,35.733
A14-1,Bifido,22.932
A14-1,Parab,27.860
A14-1,16S,14.279
A14-2,A.muc,31.065
A14-2,Firmicutes,16.222
A14-2,Bacteroidetes,15.788
A14-2,Lactobucillius,35.139
A14-2,Bifido,19.376
A14-2,Parab,23.374
A14-2,16S,13.968
A14-2,A.muc,31.968
A14-2,Firmicutes,16.146
A14-2,Bacteroidetes,15.365
A14-2,Lactobucillius,37.477
A14-2,Bifido,19.840
A14-2,Parab,23.581
A14-2,16S,13.968
A14-2,A.muc,32.855
A14-2,Firmicutes,16.143
A14-2,Bacteroidetes,15.333
A14-2,Lactobucillius,34.720
A14-2,Bifido,19.233
A14-2,Parab,24.049
A14-2,16S,14.035
A14-3,A.muc,31.374
A14-3,Firmicutes,18.118
A14-3,Bacteroidetes,15.971
A14-3,Lactobucillius,34.713
A14-3,Bifido,24.857
A14-3,Parab,26.691
A14-3,16S,14.282
A14-3,A.muc,31.666
A14-3,Firmicutes,17.852
A14-3,Bacteroidetes,15.393
A14-3,Lactobucillius,34.833
A14-3,Bifido,24.986
A14-3,Parab,26.887
A14-3,16S,14.329
A14-3,A.muc,32.069
A14-3,Firmicutes,17.996
A14-3,Bacteroidetes,15.661
A14-3,Lactobucillius,34.520
A14-3,Bifido,25.126
A14-3,Parab,27.796
A14-3,16S,14.567
A15-1,A.muc,34.937
A15-1,Firmicutes,17.322
A15-1,Bacteroidetes,15.965
A15-1,Lactobucillius,32.952
A15-1,Bifido,26.810
A15-1,Parab,33.067
A15-1,16S,14.129
A15-1,A.muc,35.000
A15-1,Firmicutes,17.160
A15-1,Bacteroidetes,15.572
A15-1,Lactobucillius,32.065
A15-1,Bifido,27.197
A15-1,Parab,34.377
A15-1,16S,14.438
A15-1,A.muc,34.662
A15-1,Firmicutes,17.276
A15-1,Bacteroidetes,15.810
A15-1,Lactobucillius,32.911
A15-1,Bifido,27.313
A15-1,Parab,32.342
A15-1,16S,14.598
A15-2,A.muc,32.812
A15-2,Firmicutes,17.346
A15-2,Bacteroidetes,17.215
A15-2,Lactobucillius,32.995
A15-2,Bifido,27.060
A15-2,Parab,31.430
A15-2,16S,14.565
A15-2,A.muc,32.058
A15-2,Firmicutes,17.227
A15-2,Bacteroidetes,15.933
A15-2,Lactobucillius,34.089
A15-2,Bifido,26.543
A15-2,Parab,32.865
A15-2,16S,14.683
A15-2,A.muc,32.688
A15-2,Firmicutes,17.392
A15-2,Bacteroidetes,16.207
A15-2,Lactobucillius,32.626
A15-2,Bifido,27.313
A15-2,Parab,31.784
A15-2,16S,15.053
A15-3,A.muc,33.646
A15-3,Firmicutes,17.967
A15-3,Bacteroidetes,16.338
A15-3,Lactobucillius,33.777
A15-3,Bifido,27.493
A15-3,Parab,33.481
A15-3,16S,14.697
A15-3,A.muc,34.586
