"","A.muc","Firmicutes","Bacteroidetes","Lactobucillius","Bifido","Parab"
"B18+AC0-2","   1.6350483897","   1.5691681958","   0.6079396416","   0.2019168667","  49.2368536021","   0.7834971869"
"B18+AC0-2","   1.9256337507","   1.7666301030","   0.6529298935","   0.6363239524","  51.5416446027","   0.8461585966"
"B18+AC0-2","   1.8677913914","   1.9561269469","   0.5613607110","             NA","  41.0316898597","   0.7851281187"
"B19+AC0-2","             NA","   0.9102491120","   0.8329682052","   0.1214414926","   9.3157160556","             NA"
"B19+AC0-2","   1.0922728852","   1.0347866404","   0.9715319412","             NA","  10.0677309795","            NaN"
"B19+AC0-2","   1.3410223978","             NA","   1.0362221541","   0.0726614181","  10.6565361336","            NaN"
"B20+AC0-2","   0.7606651073","   0.5568394515","   0.9697378274","   0.8241620850","   7.0518412633","   1.2902643416"
"B20+AC0-2","   0.5468940735","   0.7554108096","   1.0451185986","   0.6408239621","   6.8875935067","   0.9029178677"
"B20+AC0-2","   0.6631160748","   0.8283620315","   1.1271399574","   1.1991399138","   7.0567309216","   1.4566625145"
"B21+AC0-2","   0.8479199646","   0.6068169684","   0.9182761623","   0.5489195649","   0.2987478012","   0.6954409859"
"B21+AC0-2","   0.4700871013","   0.8915164561","   1.0295400834","   0.4974649088","   0.3533084110","   1.0702886984"
"B21+AC0-2","             NA","   1.2739717913","   1.0062578235","   0.3500581903","   0.3242098887","   0.9460576467"
"B22+AC0-2","   5.7331710923","   0.9408261075","   0.9699619103","   6.5145551488","   3.3287949388","   0.3434884119"
"B22+AC0-2","   6.8179278545","   1.0323985355","   1.0526311547","   2.7619106857","   3.4773782404","   0.2472998609"
"B22+AC0-2","   8.3474371930","   1.1383940291","   1.0996161493","   8.2344178931","   3.0063229561","   0.1382482701"
"B23+AC0-2","   0.5638304635","   0.5152460102","   1.6594057228","   3.6409964480","   0.2895732015","   0.0026240301"
"B23+AC0-2","   0.5764763523","   0.4990766574","   1.4596947106","   5.1741910814","   0.2991622408","   0.0022218852"
